data.title,data.id,trump_loss,biden_president,election_fraud,covid,anti_trump,trump_last_month,date
Trump erupts at Twitter for suspending Republican state senator: 'This is what Communist countries do!',k2231s,0,0,0,0,0,1,11.27
Trump rails against Twitter in late night tweets,k2250h,1,0,0,0,0,1,11.27
Trump Says He’ll ‘Certainly’ Depart WH As He Wages More Bogus Election Fraud Claims,k227s2,1,0,1,0,0,0,11.27
A donor who gave $2.5 million to a pro-Trump group looking for election fraud wants his money back after disappointing results,k22ptp,0,0,1,0,0,0,11.27
"Trump Gave W.H.O. a List of Demands. Hours Later, He Walked Away.",k22yrj,0,0,0,0,0,1,11.27
Trump supporters call for boycott of Georgia senate races that Republicans are desperate to win,k231yt,0,0,0,0,0,1,11.27
Take Trump's coup seriously. It's no joke — and Biden's win was just a sugar high,k233uw,1,0,0,0,0,0,11.27
What is Section 230? Why Donald Trump wants to terminate the legislation - and Diaper Don meme explained,k2365h,1,0,0,0,1,1,11.27
"Donald Trump Finally Answered a Reporter’s Question, Albeit at a Tiny Desk - Trump initially indicated he would leave the White House if the Electoral College votes for President-elect Joe Biden. But then seemed to change his mind later, as people mocked his small table.",k2373q,0,0,0,0,1,0,11.27
Trump’s First Instinct Was to Threaten Overhaul of Internet Law as #DiaperDon Trended,k23csv,0,0,0,0,0,1,11.27
"China is more concerned by Biden than Trump, economist Jim O'Neill says",k23ley,0,1,0,0,1,1,11.27
Trump-Fired DHS Official Who Debunked Falsehoods Reveals What Upset Him Most About Ouster,k23llj,0,0,0,0,0,1,11.27
Trump appears to backtrack on pledge to leave White House,k23yd4,1,0,0,0,0,0,11.27
Trump's baseless claims of Georgia voter fraud spark fears among Republicans,k24077,0,0,1,0,1,1,11.27
Trump declares Twitter national security threat after #DiaperDon trends following meltdown,k241wc,0,0,0,0,0,1,11.27
Pro-Trump donor suing Houston group over failure to prove voter fraud in 2020 election,k245p3,0,0,1,0,0,1,11.27
Jake Tapper Hits Trump With A Blunt Reminder After President’s Rant At Reporter,k246lc,1,0,1,0,1,0,11.27
Trump rule eases effort to strip-mine near Okefenokee Swamp,k24bft,1,0,0,0,0,1,11.27
"All the times Trump has basically acknowledged he lost the election | Trump is out of options, and every week, he’s starting to talk more and more like he knows he’s lost.",k24bkj,1,0,1,0,1,0,11.27
Trump Supporter Gave $2.5M to Fight Election Results. Now He Wants It Back,k24emd,1,0,0,0,0,0,11.27
Biden under pressure to remove Trump transgender military ban quickly,k24gnv,0,1,0,0,0,0,11.27
Trump’s Veto Threat Over Confederate-Named Bases Erodes U.S. Security and American Values,k24l1r,1,1,1,0,1,0,11.27
Trump officials move to relax rules on killing birds,k24sf0,0,0,0,0,0,1,11.27
Trump Is on a Death Row Killing Spree and Wants to Make Firing Squads Possible,k24u9v,0,0,0,0,0,1,11.27
Trump may be coming to terms with loss he won’t acknowledge,k24vve,1,1,0,0,0,1,11.27
Pompeo says State Department will 'honor' promise to conduct transition to Biden administration,k24xry,1,1,0,0,0,0,11.27
Trump Flips Out at Reporter in Thanksgiving Tantrum: “Don't Talk To Me That Way!”,k252ou,0,0,0,0,0,1,11.27
"Biden COVID adviser warns U.S. could be ""struggling"" to find enough ICU beds by Christmas and the New Year",k2568k,0,0,0,1,0,0,11.27
Trump's baseless claims of Georgia voter fraud spark fears among Republicans | Trump’s party worries his comments could depress GOP turnout in key Senate runoff elections,k259ay,0,0,1,0,0,1,11.27
"Trump implies that he won't leave the White House unless Biden 'can prove' he won 80 million votes, as the president continues to tweet lies and conspiracy theories about the election",k25pch,1,0,0,0,0,0,11.27
Trump administration moves ahead on gutting bird protections,k25uvn,0,0,0,0,0,1,11.27
"Half of Republicans Believe President Trump Won Election, Poll Finds",k26eio,1,1,0,0,0,1,11.27
